canddt_name_2019,canddt_sex_2019,canddt_age_2019,canddt_category_2019
Abdul Hannan Sardar,M,63,GEN
ABDUL IMRAN,M,35,GEN
Abdul Karim Desai,M,61,GEN
ABDUL KHADER HAJI,M,70,ST
ABDUL KHADER VAZHAKKALA,M,59,GEN
Abdul Khaleque,M,44,GEN
Abdul Khaliq Bhat,M,40,GEN
Abdul Majeed Faizy,M,48,GEN
ABDUL NAZEER SAB,M,59,GEN
ABDUL QAYOOM WANI,M,59,GEN
ABDUL QAYYUM SIDDIQUI,M,47,GEN
Abdul Raees Ahemad S/o Abdul Jabbar,M,51,GEN
ABDUL RAHIM MALLIK,M,52,GEN
ABDUL RAHMAN,M,34,GEN
ABDUL RAJAK ANSARI,M,64,GEN
Abdul Rashid Banday,M,67,GEN
Abdul Salam K.P,M,60,GEN
Abdul Samad Abdul Karim,M,62,GEN
ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,M,45,GEN
ABDUL WAHID KHAN,M,69,GEN
ABDUL WARIS,M,58,GEN
"ABDULBUHARI,K .",M,42,GEN
AbdulKarim Desai,M,61,GEN
ABDUR RAHMAN,M,56,GEN
ABDUR REHMAN ANJARIA,M,46,GEN
Abdus Sadek Sarkar,M,40,GEN
ABDUS SATTAR MUJAHED,M,53,GEN
Abha Rai,F,26,GEN
ABHAS RAY CHAUDHURI,M,50,GEN
Abhay Kumar Sharma,M,45,GEN
ABHIJEET KUMAR JATAV,M,59,SC
ABHIJIT KUMAR SINGH,M,58,GEN
ABHIJIT MUKHERJEE,M,59,GEN
ABHIJIT SAHA,M,47,SC
Abhijit Wamanrao Awade Bichukle,M,43,SC
ABHIJIT WAMANRAO BICHUKALE,M,43,SC
Abhimanyu Singh Patel,M,43,GEN
Abhimanyu Singh Sunny,M,28,GEN
ABHINAV KUMAR,M,32,GEN
ABHIRAM PRIYADARSHI,M,30,GEN
ABHISHEK BANERJEE,M,31,GEN
ABHISHEK BILHORE,M,25,GEN
Abhishek Chand,M,30,GEN
Abhishek Kumar Alias Rinku Ji,M,41,GEN
ABHISHEK PRIYADARSHI,M,37,GEN
ABHISHEKH KUMAR SINGH,M,49,GEN
ABINASHI MUNDU,F,35,ST
ABIRAMI P,F,36,SC
Abu bakar,M,29,GEN
ABU HASEM KHAN CHOWDHURY (DALU),M,72,GEN
"ABU HENA, S/O - LATE ABDUS SATTAR",M,69,GEN
"ABU HENA, S/O - SAZZAD ALI",M,26,GEN
ABU TAHER BEPARI,M,52,GEN
ABU TAHER KHAN,M,57,GEN
ABU UMAIMA,M,32,GEN
ABUBAKAR RAHMANI,M,30,GEN
Abul Kalam Khan,M,44,GEN
Abul Kashem Dhali,M,56,GEN
ABUSHAD,M,47,GEN
ACCHE LAL KUSHAWAHA,M,62,GEN
Acharya Pramod Krishnam,M,56,GEN
ACHYUTANANDA SAMANTA,M,55,GEN
AD. RAMRAJ RAM,M,78,SC
Adagal Rajendra,M,43,SC
Adak Sukomal,M,33,GEN
Adakmol Rohidas Ramesh,M,41,SC
Adala Prabhakara Reddy,M,70,GEN
ADAMALA RAVINDHAR REDDY,M,50,GEN
ADARI ANAND KUMAR,M,43,GEN
Adesh Tyagi,M,49,GEN
Adhalrao Shivaji Dattatrey,M,64,GEN
ADHIKARI DEEPAK (DEV),M,36,GEN
Adhikari Dibyendu,M,42,GEN
Adhikari Sisir,M,77,GEN
ADHIKARY PARESH CHANDRA,M,66,SC
Adhikrao Sampat Channe,M,39,GEN
ADHIR RANJAN CHOWDHURY,M,63,GEN
Adi Narayana Reddy Chadipirala,M,61,GEN
ADINARAYANA INTY,M,67,GEN
Adiraju Yedla,M,52,GEN
ADITI,F,25,SC
Aditya Kumar Naveen,M,34,GEN
Aditya Pradhan,M,40,GEN
Adsul Anandrao Vithoba,M,71,SC
ADV SUJA ANTONY,F,39,GEN
ADV VIVEK K VIJAYAN,M,36,GEN
"Adv, JOICE GEORGE",M,49,GEN
ADV. (DR.) MANE SURESH,M,58,SC
Adv. A M ARIFF,M,54,GEN
Adv. ADOOR PRAKASH,M,63,GEN
Adv. Ahire Vaibhav Shantaram,M,39,SC
ADV. AMOLIK GOVIND BABURAO,M,67,SC
Adv. Bagul Tikaram Katthu,M,65,ST
Adv. BANSI BHAURAO SATPUTE,M,58,SC
Adv. Basheer Alady,M,45,GEN
Adv. Bhaskar Marotrao Neware,M,42,ST
Adv. DEAN KURIAKOSE,M,37,GEN
ADV. FEROZ A. SHAIKH,M,46,GEN
Adv. Ganesh Iyer,M,54,GEN
Adv. HARI SHANKAR RAJVANS,M,42,SC
Adv. Jaiswal Virendrakumar Kasturchand,M,63,GEN
Adv. K. C. Padavi,M,61,ST
Adv. K.C. Nazeer,M,40,GEN
Adv. Kanade Sanjay Kisan,M,49,GEN
Adv. Kokate Manikrao Shivajirao,M,61,GEN
Adv. Kumar Devba Kalel Patil,M,38,GEN
Adv. Mahendra Tulshiram Bhingardive,M,42,SC
Adv. Mahesh Gajendragadkar,M,57,GEN
ADV. MANISHA MANOHAR KARANDE,F,37,SC
Adv. Marotrao Kanhobarao Hukke Patil,M,43,GEN
Adv. Mitesh Varshney,M,27,GEN
Adv. More Yogesh Vitthal,M,38,GEN
ADV. NARENDRA SAWAIKAR,M,52,GEN
Adv. P.C Thomas,M,68,GEN
ADV. PRAKASH KACHARU AAHER,M,55,SC
Adv. PRASANTHBHIM,M,33,SC
Adv. Praveen Kumar,M,34,ST
Adv. R. APARNA,F,27,GEN
Adv. Rajendra Shriramji Mahadole,M,48,GEN
Adv. Ramchandra N. Kachave,M,50,GEN
Adv. Ramesh Devaram Dharmavat,M,37,GEN
Adv. Sachin Bhaskar Jore,M,36,GEN
Adv. Sahil L . Shah,M,27,GEN
Adv. Sanjay Sharad Gangnaik,M,51,GEN
Adv. Shahejad Samiullah Khan,M,36,GEN
Adv. SHANIMOL OSMAN,F,52,GEN
Adv. Sharad Bahinaji Kamble,M,39,SC
Adv. Sreejith P R,M,33,GEN
Adv. Trimbak Baburao Jadhav,M,64,GEN
Adv. Ulhas Shalikram Dupare,M,53,SC
ADV. VANSH BAHADUR SABHAJEET YADAV,M,54,GEN
Adv. Vijay Janardan Shiktode,M,55,SC
Adv. Vijay Shenmare,M,64,GEN
ADV. VIJAYA DILIP BAGDE,F,43,SC
Adv. Vijayanand Shankarrao Shinde,M,62,GEN
Adv. Vijayrao More,M,78,GEN
ADV. VIKRAM UTTAM KASABE,M,43,SC
ADV. YASHWANT RAMBHAU KASBE,M,51,SC
Adv. Yogesh Dattu Gullapelli,M,29,GEN
Adv.Girish Madan Patil,M,25,GEN
Adv.K.V.Sabu,M,57,GEN
Adv.Mangesh Nilkanth Vanshiv,M,41,SC
Adv.PRAKASH BABU,M,39,GEN
ADV.PRETHEEP KUMAR.P.K.,M,40,SC
ADV.V.K.SAJEEVAN,M,43,GEN
Advocate Amit Kumar Gupta,M,35,GEN
ADVOCATE ANJAY DEBSARMA,M,38,SC
Advocate Bapu Singh Gujar,M,40,GEN
ADVOCATE K.SUDHAKARAN,M,64,GEN
ADVOCATE MOULVI ZAMERUDDIN,M,65,GEN
ADVOCATE PARVEEN YADAV WAZIRABAD,M,40,GEN
ADVOCATE PRABHJOT SINGH,M,29,SC
ADVOCATE PREM NATH SHARMA,M,57,GEN
ADVOCATE RAJKUMAR SARYAM,M,40,ST
ADVOCATE RAKESH KUMAR SHUKLA,M,52,GEN
ADVOCATE SATYAPRAKASH SHULKE (LODHI),M,40,GEN
Advocate Shailendra Kumar Banjare,M,42,SC
ADVOCATE SHAILESH N. SOLANKI,M,35,SC
Advocate Vimla Arya,F,32,SC
"ADVOCATE.THANGAPANDIAN, M.",M,35,GEN
ADVOCATE-DEVSINGH KUMRE,M,36,ST
ADVOCATE-KATARA RUKHAMAN SINGH,M,34,ST
Afajal Varis,M,46,GEN
AFTAB ALAM,M,37,GEN
Aftab Mashwood Khan,M,43,GEN
AFZAL,M,48,GEN
AFZAL ANSARI,M,65,GEN
Aga Syed Mohsin,M,58,GEN
Agam Chandrasekhar,M,60,SC
AGARWAL KANAIALAL,M,64,GEN
AGATHA K. SANGMA,F,38,ST
AGNI SRIRAMACHANDRAN,M,38,GEN
Agrawal Kunjbihari Jugalkishor,M,60,GEN
Agrawal Shaileshkumar Premkishorji,M,37,GEN
AGRI KRISHNAMURTHY S S,M,59,GEN
AHAMED FARUK,M,49,GEN
AHAMED SHAHJAHAN.M,M,49,GEN
Ahemad Rahim Shaikh,M,49,GEN
Aher Sharad Keru,M,30,ST
Ahir Hansraj Gangaram,M,64,GEN
Ahirwar Kiran,F,47,SC
Ahirwar Shripat Shikshak,M,47,SC
Ahmad Ansari,M,57,GEN
AHMED ALI KHAN,M,42,GEN
Ahmed Khan,M,33,GEN
Ahmed Shakil Sagir Ahmed Shaikh,M,41,GEN
AHORATRA NATESHA POLEPALLI,M,51,GEN
AILA PRASANNA,F,45,GEN
AINUL HAQUE,M,36,GEN
AISHWARYA ARJUN SALGAONKAR,F,40,GEN
Aitawade Vidyasagar Devappa,M,73,GEN
AITHA PRAVEEN KUMAR,M,35,ST
Ajaib Singh,M,45,SC
AJAMAL ISMAIL,M,36,GEN
Ajay Arjun Singh,M,63,GEN
AJAY BABURAM GUPTA,M,48,GEN
AJAY BHAI,M,35,GEN
Ajay Bhatt,M,57,GEN
Ajay Chakole,M,50,GEN
AJAY CHAUDHARY,M,42,GEN
AJAY DAHAL,M,46,GEN
AJAY GHOSH,M,69,GEN
AJAY HANUMANT LONDHE,M,34,SC
Ajay Kailashnath Dubey,M,29,GEN
Ajay Karamsing Gavit,M,25,ST
AJAY KRISHNA,M,50,GEN
Ajay Kumar,M,49,GEN
AJAY KUMAR,M,31,GEN
Ajay Kumar,M,39,GEN
Ajay Kumar,M,60,GEN
AJAY KUMAR,M,35,GEN
Ajay Kumar Bain,M,54,SC
Ajay Kumar Dixit,M,56,GEN
AJAY KUMAR LAL,M,60,GEN
AJAY KUMAR MANDAL,M,41,GEN
AJAY KUMAR SHARMA,M,41,GEN
AJAY KUMAR SINHA,M,57,GEN
AJAY MAKAN,M,55,GEN
Ajay Nishad,M,50,GEN
AJAY PAL,M,34,SC
AJAY PALI (BABA),M,40,GEN
AJAY PASWAN,M,46,SC
Ajay Prakash Kurane,M,44,SC
AJAY RAI,M,49,GEN
Ajay Sharma,M,50,GEN
AJAY SINGH (PANKAJ),M,46,SC
AJAY SINGH KUSHWAH,M,44,GEN
Ajay Tamta,M,46,SC
AJAY TOPNO,M,50,ST
AJAYAKUMAR,M,40,SC
Ajaypal,M,58,GEN
AJAYSHYAM RAMLAKHAN MORYA,M,47,GEN
AJAZ.S,M,33,GEN
AJEET DHURWEY,M,27,ST
Ajeet Kumar Patel,M,31,GEN
AJI PATHANAPURAM,M,34,SC
AJIMULLAH,M,64,GEN
Ajinath Laxman Kevate,M,46,GEN
Ajinkya Aakaram Salunkhe,M,27,GEN
AJIT KUMAR,M,36,GEN
AJIT KUMAR BAURI,M,38,SC
AJIT KUMAR BHAGAT,M,34,ST
Ajit Namdar Tadvi,M,31,ST
AJIT PRATAP KUSHAWAHA,M,46,GEN
Ajit Singh,M,78,GEN
Ajitansh Gaur,M,30,GEN
AJMERA S PRAVEEN KUMAR,M,59,ST
AJOY KUMAR SARKAR,M,64,SC
Akash Niraj,M,29,SC
AKEEL,M,39,GEN
AKHIL CHIRRAVURI,M,25,GEN
AKHILESH,M,55,GEN
Akhilesh,M,43,GEN
Akhilesh,M,51,GEN
AKHILESH KUMAR,M,44,GEN
AKHILESH KUMAR,M,46,GEN
AKHILESH SAKET,M,38,SC
Akhilesh Yadav,M,45,GEN
AKHLESH KUMAR,M,30,GEN
AKHTAR,M,48,GEN
Akhtar Munshi Paper Wala,M,49,GEN
Akhtarul Iman,M,55,GEN
AKIK HOSSAIN CHOWDHURY,M,49,GEN
AKSHAIBAR LAL,M,73,SC
AKSHASH KRISHNA,M,30,SC
AKSHAY KACHARU SANAP,M,27,GEN
AKSHAY PRATAP SINGH ALIAS GOPAL JI,M,51,GEN
Akshay Yadav,M,32,GEN
AKSHAYA KUMAR KAR,M,58,GEN
AKULA HANMANDLU,M,41,GEN
AKULA PAUL,M,36,SC
AKULA SATYANARAYANA,M,55,GEN
AL MONOWARA BEGAM,F,44,GEN
ALAGA. RAVI KUMAR,M,49,SC
ALAGAAPURAM R. MOHANRAJ,M,65,GEN
ALAGAR M,M,52,GEN
ALAGAR P,M,90,SC
"ALAGARSAMY, N.",M,32,GEN
"ALAGARSAMY, R.",M,47,GEN
ALAGUDU LINGARAJU,M,30,SC
ALAKESH DAS,M,55,SC
ALAKESH ROY,M,39,GEN
ALAM NOORSED,M,27,GEN
ALAMGIR MOHD. KHAN,M,37,GEN
Alanguru Kanakalakshmi,F,30,SC
Alankruta Abhijeet Awade-Bichukale,F,39,GEN
ALETI RAJAREDDY,M,44,GEN
ALEXANDER,M,61,GEN
"ALEXPANDIAN, S.",M,37,GEN
ALI .M R. KHAN,M,62,GEN
ALI AKBAR K.,M,31,ST
ALI ASHFAQUE AHMED,M,48,GEN
Ali Azhar Ansari,M,60,GEN
ALI MOHAMMAD WANI,M,48,GEN
ALIGE JEEVAN,M,28,SC
ALIMAMAD ISHAKBHAI PALANI,M,38,GEN
ALIMUDDIN AHMED,M,47,GEN
Alimuddin Ansari,M,64,GEN
ALIMUDDIN NAZIR,M,26,GEN
ALISHAN. S,M,64,GEN
ALLA PICHAI,M,75,GEN
Allamaa Shiblee Nomanee Halami,M,51,GEN
"ALLIKKODI, P.",M,58,GEN
ALLOORI ANIL KUMAR,M,27,GEN
ALLU VENKATAREDDY,M,49,GEN
ALLURI LIMBA REDDY,M,51,SC
ALOK KUMAR,M,50,GEN
Alok Kumar,M,38,GEN
ALOK KUMAR,M,26,GEN
ALON BAXLA,M,47,ST
ALPESHKUMAR V.VADOLIYA(1008),M,33,GEN
ALPHONS KANNANTHANAM,M,65,GEN
Altaf Ahamad,M,48,GEN
ALUR M G SWAMY,M,72,GEN
ALUVA ANEESH,M,38,GEN
Amal Barman,M,42,SC
AMALAN RAJIV BONIFAS,M,35,GEN
AMANDBHAI PATEL,M,69,GEN
Amandeep Kaur,F,29,SC
AMANDEEP SINGH GHOTRA,M,39,GEN
AMANULLAH AHMED,M,34,GEN
AMAR BAHADUR,M,54,SC
Amar Chandra Jauhar,M,48,SC
AMAR CHOWDHURY,M,63,GEN
Amar Debbarma,M,41,ST
Amar Kumar,M,31,GEN
AMAR KUMAR MAHTO,M,25,GEN
Amar Kumar Raizada,M,66,GEN
Amar Nath Yadav,M,54,GEN
AMAR SINGH,M,65,SC
Amar Singh Kalundha,M,59,ST
AMAR SINGH MAHAUR,M,52,SC
AMAR SINGH RAI,M,71,GEN
AMARDAS B. DESANI,M,52,GEN
AMARJEET,M,51,SC
AMARJEET KUMAR,M,34,GEN
AMARJIT PATEL,M,38,GEN
Amarjit Prasad,M,41,ST
Amarpreet Singh,M,38,GEN
Ambadas Shamrao Wankhade,M,49,SC
Ambala Mahendar,M,46,SC
AMBARAM PARMAR CHANDRAVANSHI,M,72,SC
AMBAZ UDDIN,M,51,GEN
Ambedkar (Adv) Prakash Yashwant,M,64,GEN
AMBEDKAR PRAKASH YASHVANT,M,64,SC
Ambedkari Hasnuram Ambedkari,M,64,SC
AMBER SAURAV KUNAL,M,25,ST
Amberkar Pandharinath Vidyadhar,M,39,GEN
AMBIKAPATHI D,M,39,SC
AMBRESH KENCHA,M,36,GEN
Ambrish Kumar,M,70,GEN
AMBROSE D' MELLO,M,51,GEN
Ameen Peeran,M,48,GEN
AMICHAND,M,69,SC
AMINDRA PASWAN,M,33,SC
Amir Nayak,M,36,GEN
Amirtha Jai Kumar Essac Yesaiah,M,43,GEN
AMIRUDDIN,M,42,GEN
AMIT ATMARAM KORGAONKAR,M,40,GEN
Amit Chaudhary urf Madhav Chaudhary,M,42,GEN
Amit Jangir,M,25,GEN
Amit Jani,M,38,GEN
AMIT KHARE,M,27,SC
AMIT KUMAR BALKE,M,33,ST
AMIT KUMAR GUPTA,M,30,GEN
AMIT KUMAR SHARMA,M,43,GEN
AMIT SENGUPTA,M,67,GEN
AMIT SHAH,M,54,GEN
Amit Sharma,M,37,GEN
AMIT SINGH PATEL,M,33,GEN
Amit Tripathi,M,33,GEN
Amit Vikram,M,39,GEN
AMITAV NASKAR,M,33,SC
AMIYA KANTA MALLICK,M,61,SC
AMIYA KUMAR HANDIQUE,M,65,GEN
AMIYA PATRA,M,67,GEN
Amiya Sarkar,M,51,SC
AMJAD KHAN,M,38,GEN
Amol Alias Yabes S. Tujare,M,34,SC
Amol Ashokrao Jadhav,M,30,GEN
Amol Jayraj Shinde,M,32,GEN
Amraram,M,63,GEN
AMRENDER KUMAR,M,30,GEN
Amrendra Kumar Yadav,M,46,GEN
AMRESH MISHRA,M,53,GEN
Amrik Singh,M,36,GEN
Amrinder Singh Raja Warring,M,41,GEN
Amrish Kumar,M,54,SC
Amrish Raj Morajkar,M,33,GEN
AMRIT TIRKEY,M,42,ST
AMRITH SHENOY P,M,41,GEN
Amruta Abhijit Apte,F,33,GEN
AMRUTHAM NARSAIAH PAPAIAH,M,58,GEN
ANAMIKA KUMARI,F,39,GEN
ANAMIKA SARKAR,F,43,GEN
ANAND ASNOTIKAR,M,39,GEN
ANAND JIVAN RAM,M,33,SC
ANAND KUMAR GAUTAM,M,29,SC
ANAND KUMAR JHA,M,39,GEN
Anand Kumar Maurya,M,36,GEN
Anand Kumar Sain,M,37,GEN
ANAND KUMAR. M,M,45,GEN
Anand Pathak,M,32,GEN
ANAND PAUL TIRKEY,M,27,ST
ANAND PRAKASH PARANJPE,M,46,GEN
Anand Prakash Singh Rajput,M,54,GEN
Anand Prakash Vanjape,M,43,GEN
ANAND RAMESH PATIL,M,54,GEN
ANAND RAMESH THORAWADE,M,39,SC
ANAND SEN,M,55,GEN
Anand Shankar Nalage (Patil),M,50,GEN
ANAND VIKRAM SINGH,M,32,GEN
ANANDA KUMAR SAREN,M,43,ST
"ANANDAN, M.S.M.",M,56,GEN
ANANDARAJ. M,M,40,GEN
Anandharaja. V,M,53,GEN
ANANDI TUDU,F,51,ST
Anandmani Dutt Joshi,M,51,GEN
"ANANDRAJ, B.",M,27,GEN
Anandrao Vasantrao Sarnaik (Fouji Bapu),M,58,GEN
Anant Geete,M,67,GEN
ANANT LAL BASOR,M,71,SC
Anant Prabhakar Mahajan,M,36,GEN
Ananta Datta Puri,M,34,GEN
Ananta Nayak,M,49,ST
Anantharaman R K,M,40,GEN
ANANTHI S,F,35,SC
"ANANTHRAJ, T.",M,34,SC
ANANTKUMAR HEGDE,M,51,GEN
ANBALAGAN M,M,61,SC
ANBALAGAN T,M,55,SC
Anbazhagan T,M,29,GEN
ANBIN POYYAMOZHI S,M,48,SC
Anbukani S,F,33,GEN
ANBUMANI RAMADOSS,M,50,GEN
"ANBUROSE. D,",M,46,GEN
ANDRAPU SUDHARSHAN ( GANGAPUTRA ),M,43,GEN
Andrew John Fernandes,M,58,GEN
ANDUKURI VIJAYA BHASKAR,M,49,SC
ANEEL KUMAR,M,40,GEN
Angad Mahato,M,51,GEN
ANGADI SURESH CHANNABASAPPA,M,63,GEN
Angam Karung Kom,M,63,ST
Angrej Singh Alahi,M,41,SC
ANGSHUDHAR MANDAL,M,45,SC
Aniket Ranjan,M,28,GEN
ANIL,M,43,GEN
Anil Anna,M,70,GEN
ANIL BABAN HEGADE,M,42,SC
Anil Bharti,M,49,GEN
ANIL BORGOHAIN,M,51,GEN
ANIL FIROJIYA,M,47,SC
Anil Hebbar Koni,M,54,GEN
Anil Jayram Rathod,M,43,GEN
Anil Joya Meghwal,M,45,SC
Anil Kumar,M,47,GEN
Anil Kumar,M,58,GEN
Anil Kumar,M,46,GEN
Anil Kumar,M,37,GEN
Anil Kumar,M,45,GEN
ANIL KUMAR,M,40,GEN
ANIL KUMAR ' RAJVANSHI',M,48,SC
ANIL KUMAR BEHERA,M,29,SC
ANIL KUMAR CHAURASIYA,M,37,GEN
Anil Kumar Gali,M,46,GEN
ANIL KUMAR KUSHWAHA,M,37,GEN
ANIL KUMAR MADDINENI,M,39,GEN
ANIL KUMAR MANJHI,M,33,SC
Anil Kumar Rai,M,56,GEN
ANIL KUMAR SAH,M,35,GEN
Anil Kumar Singh,M,66,GEN
Anil Kumar Tiwari,M,51,GEN
Anil Kumar Verma,M,55,GEN
ANIL KUMAR YADAV,M,27,GEN
Anil Mahadeo Dhone,M,54,SC
Anil Malviya Patrakar,M,33,SC
Anil Namdeorao Jamnekar,M,54,SC
Anil Narayan Jadhav,M,35,GEN
Anil Ramdas Jadhaav,M,25,SC
Anil Singh,M,25,GEN
Anil Singh,M,30,GEN
Anil Singh,M,41,GEN
ANIL SOREN,M,31,ST
ANIL YOGI UPADHYAY,M,37,GEN
ANILKUMAR CHINTHA,M,33,GEN
ANIMESH CHANDRA HALDER,M,40,SC
ANIMESH MAL,M,27,SC
ANIRUDH MEHTA,M,54,GEN
Anirudh Prasad alias Sadhu Yadav,M,51,GEN
Anirudh Singh,M,62,GEN
ANISHBHAI GAFFARBHAI BHIMANI (Ganibhai),M,62,GEN
ANISUL AMBIA,M,56,GEN
ANITA ASHOK SHET,F,52,GEN
Anita Kiran Patole,F,39,GEN
ANITA KOL,F,38,SC
Anita Lalchand Khandade (Rajput),F,38,GEN
Anita Subhadarshini,F,47,GEN
Anita Tripathi,F,58,GEN
ANITHA,F,34,GEN
ANITHA V,F,37,SC
ANJAIAH,M,38,GEN
ANJAIAH KONDANI,M,36,GEN
Anjali Ratnakar Baviskar,F,50,GEN
ANJAN KUMAR YADAV. M,M,58,GEN
ANJANA BHUIYAN,F,47,SC
Anjana Mahata,F,38,GEN
ANJANI PANDEY,M,61,GEN
ANJANI SOREN,F,47,ST
Anju Dhanka,F,42,ST
ANKADI SATHIBABU,M,45,GEN
Ankit,M,29,GEN
Ankit Mohan Chandak,M,27,GEN
ANKIT SINGH,M,31,GEN
Ankur,M,29,GEN
Ankur Gill,M,27,SC
Ankur Sharma,M,34,GEN
ANKUSH RAMCHANDRA KARANDE,M,60,GEN
Ankushrao Shivajirao Patil,M,51,GEN
ANMISH VARMA,M,26,GEN
Anna Siva Chandra Reddy,M,39,GEN
ANNADHURAI. K.,M,43,SC
ANNADURAI B,M,42,GEN
ANNADURAI C N,M,45,GEN
ANNADURAI P,M,51,GEN
ANNADURAI S,M,37,SC
ANNADURAI T S,M,40,SC
"ANNADURAI, V.",M,37,SC
ANNADURAI. K,M,51,GEN
ANNAKILI,F,40,SC
Annasaheb Devidasrao Ugale,M,51,GEN
Annasaheb Ramchandra Rathod,M,50,GEN
ANNASAHEB SHANKAR JOLLE,M,55,GEN
Annaso Sukhadev Maske,M,53,SC
ANNOJIRAO.G,M,43,SC
ANNPURNA DEVI,F,50,GEN
Annu Tandon,F,61,GEN
Anoop Kumar Meghwal,M,29,SC
ANOOP KUMAR PANDEY,M,30,GEN
ANOOP MEHTA,M,54,GEN
Ansari Mohammed Ismail Mohammed Ibrahim,M,57,GEN
Ansari Mohd. Azad,M,46,GEN
ANSARI MUMTAZ ABDULSATTAR,M,44,GEN
Ansari Samshad Anwar,M,30,GEN
ANSARI. S,M,40,GEN
ANSH CHAITANYA MAHARAJ,M,31,GEN
ANTO ANTONY,M,62,GEN
"ANTO HILLERY, M.",M,43,GEN
Antony.M,M,44,GEN
Anturlikar Sushil Suresh,M,33,ST
ANU PANT,M,32,GEN
Anubhav Mohanty,M,37,GEN
ANUGU THIRUMAL,M,42,GEN
Anuj Kumar,M,34,GEN
ANUJ KUMAR KANAUJIA,M,28,SC
ANUJIT KUMAR NAN,M,53,GEN
ANUMULA REVANTH REDDY,M,51,GEN
ANUMULA VAMSIKRISHNA,M,41,ST
Anup Kumar Sinha,M,43,GEN
Anup Singh Sengar,M,41,GEN
ANUPAM HAZRA,M,37,GEN
ANUPAM SINGHA,M,34,SC
ANUPAM TRIPATHI,M,38,GEN
Anupriya Singh Patel,F,37,GEN
ANURADHA PUTATUNDA,F,64,GEN
Anurag Sharma,M,54,GEN
ANURAG SINGH,M,25,GEN
ANURAG SINGH THAKUR,M,44,GEN
ANURUDDH KUMAR DUBE,M,39,GEN
Anusha Keshavabhatla,F,32,GEN
Anvar P.V. Raseena Manzil,M,43,GEN
Anwar Khan Mirza Khan,M,38,GEN
Anwar P.V. Alumkuzhi,M,30,GEN
APARAJITA SARANGI,F,49,GEN
Aparanti Sanjay Yashwant,M,59,GEN
APARUPA PODDAR (AFRIN ALI),F,33,SC
Appala Naidu Tummagunta,M,37,GEN
APPALAKONDA VANGALAPUDI,M,28,SC
APPASAHEB NAVNATH PALVE,M,32,GEN
APPASAHEB SHRIPATI KURANE,M,37,SC
APPATHURAI. N.R.,M,68,GEN
APURBA SAIKIA,M,44,GEN
APURBA SARKAR (DAVID),M,55,GEN
ARASAN K,M,64,SC
"ARASUR MANOHARAN (a) MANOHARAN, S",M,63,GEN
ARAVAAZHI. K,M,52,SC
Araveti Hazarath Rao,M,68,GEN
Aravind Kumar Sharma,M,55,GEN
ARBIN KUMAR BORUAH,M,34,GEN
ARBIND KUMAR,M,68,GEN
Archana Chandrakumar Ukey,F,45,SC
